"","imdbRating","budget","release_month","duration_minutes","total_number_of_spoken_languages","total_number_of_genres","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_scifi","genre_shortfilm","genre_thriller","genre_war","main_actor1_is_female","main_actor1_star_meter","main_actor2_star_meter","main_actor3_star_meter","total_number_of_actors","log_duration","country_prod_d","language_used_d"
"114",6.4,6e+07,6,90,2,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",1923,380,2570,11,4.06044301054642,1,0
"115",7.5,3e+07,11,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",1413,32,3175,29,4.48863636973214,1,1
"116",8.6,0,5,210,1,1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",1106,1186,1296,13,5.17048399503815,1,1
"117",7.9,0,6,120,1,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1597,110,2182,16,4.29045944114839,1,1
"118",6.8,1e+07,6,90,2,3,"0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1",1460,1068,465,15,4.02535169073515,1,1
"119",7.3,0,10,120,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",246,1464,1484,12,4.30406509320417,1,1
"120",7.5,3e+06,12,90,2,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",1872,1787,2640,25,4.21950770517611,0,1
"121",7.1,8700000,5,90,1,3,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0",517,1552,1989,16,3.93182563272433,1,1
"122",7,7e+06,10,90,3,2,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1627,1847,383,18,4.02535169073515,1,1
"123",7.6,0,12,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",200,366,717,9,4.27666611901606,1,1
"124",7.6,7e+06,10,90,2,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1943,2405,2458,21,3.95124371858143,1,1
"125",7,0,9,90,1,3,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",349,1712,1692,8,3.80666248977032,1,1
"126",6.9,0,1,90,1,3,"0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0",615,2318,493,8,4.15888308335967,1,1
"127",7.9,5015000,9,180,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1",1583,1725,883,10,4.88280192258637,1,1
"128",6.5,6e+06,12,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1",1890,2168,860,10,4.49980967033027,1,1
"129",7.7,0,4,90,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",1695,126,1081,26,4.12713438504509,1,1
"130",8.1,1800000,9,120,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",924,2400,2435,19,4.33073334028633,1,1
"131",7,0,11,120,1,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",238,2624,2397,7,4.39444915467244,1,1
"132",5.9,0,9,90,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1948,2040,1126,16,3.87120101090789,1,1
"133",7.4,4e+07,7,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",888,910,2248,23,4.60517018598809,1,1
"134",8.2,0,2,120,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",1922,1653,1592,21,4.36944785246702,1,1
